49482253,144,559,297
386025288,380,326,294
379743460,100,577,323
188587536,678,7,315
386617516,142,546,312
194172857,581,122,297
325955721,625,90,285
384189768,122,535,343
544393402,717,12,271
59800473,609,80,311
49183039,56,666,278
30260195,30,693,277
229599623,20,673,307
21392688,320,349,331
227811309,227,454,319
386733559,618,64,318
564619457,676,1,323
34303903,688,1,311
9629378,0,74,926
211956446,700,1,299
115315628,708,10,282
9626719,667,3,330
55770807,601,1,398
19525721,514,0,486
49169782,664,2,334
9627034,699,0,301
