41	115315628	115315572
713	115315628	115315628
2	115315628	526241733
4	115315628	526244466
7	115315628	526244525
233	115315628	9629653
999	188587536	188587536
44	194172857	116515308
11	194172857	169832377
19	194172857	182682970
243	194172857	194172857
10	194172857	221230948
50	194172857	225853611
12	194172857	225855735
40	194172857	225857809
3	194172857	225860012
60	194172857	298501502
15	194172857	307066636
14	194172857	307126151
2	194172857	342162671
318	194172857	387625543
9	194172857	387758384
6	194172857	405759923
1	194172857	410475457
8	194172857	479134147
11	194172857	480530348
124	194172857	480532168
1000	19525721	19525721
1000	211956446	211956446
88	21392688	21392688
912	21392688	386733559
53	227811309	21392893
42	227811309	227811309
5	227811309	229599623
1	227811309	296506382
1	227811309	301067930
898	227811309	386733762
74	229599623	21392893
6	229599623	229599623
1	229599623	296506382
919	229599623	386733762
5	30260195	118475778
41	30260195	229599883
8	30260195	296500838
1	30260195	30260195
944	30260195	386733873
1	30260195	558678294
3	325955721	161506634
4	325955721	295691862
82	325955721	315037230
444	325955721	325955721
457	325955721	385816611
1	325955721	385818461
7	325955721	385824947
2	325955721	525706521
1000	34303903	34303903
12	379743460	227119188
8	379743460	227811634
1	379743460	336125405
2	379743460	360034408
818	379743460	360037214
24	379743460	379743460
132	379743460	384422536
3	379743460	384423362
4	384189768	296453187
12	384189768	384189768
2	384189768	384191411
981	384189768	387819930
1	384189768	518656469
3	386025288	157325217
2	386025288	16798783
3	386025288	16799079
6	386025288	217963303
930	386025288	386006713
3	386025288	386042347
7	386025288	386045634
2	386025288	386052273
9	386025288	404412106
2	386025288	405748335
17	386025288	405751204
1	386025288	405756987
3	386025288	406702775
9	386025288	470208773
2	386025288	662858600
2	386617516	117622295
4	386617516	170018061
14	386617516	170079663
36	386617516	170679574
1	386617516	209427726
1	386617516	209917191
35	386617516	218552585
1	386617516	218693476
6	386617516	218703261
4	386617516	254160123
1	386617516	260853213
5	386617516	260866153
2	386617516	29140543
1	386617516	30065704
4	386617516	344915202
1	386617516	377520096
2	386617516	384124469
211	386617516	386617516
26	386617516	386622414
13	386617516	386632422
59	386617516	387615344
408	386617516	387828053
6	386617516	387880559
1	386617516	409247664
14	386617516	410480139
4	386617516	443615330
2	386617516	544574430
3	386617516	82542618
1	386617516	82775382
132	386617516	91209055
1	386733559	21392688
999	386733559	386733559
1000	49169782	49169782
5	49183039	118475778
41	49183039	229599883
14	49183039	296500838
935	49183039	386733873
5	49183039	49183039
11	49482253	118725053
4	49482253	119443652
1	49482253	150392480
99	49482253	151220212
33	49482253	156978331
1	49482253	157102937
3	49482253	209363552
1	49482253	215401108
20	49482253	384546269
122	49482253	384868588
6	49482253	422935796
655	49482253	49482253
1	49482253	509139878
4	49482253	521210823
33	49482253	537441500
1	49482253	57650036
2	49482253	66395164
3	49482253	9635677
171	544393402	389853198
22	544393402	459284225
807	544393402	544393402
1000	55770807	55770807
1000	564619457	564619457
2	59800473	15793034
3	59800473	161869018
1	59800473	385327372
1	59800473	385337120
7	59800473	385850283
986	59800473	59800473
1000	9626719	9626719
1000	9627034	9627034
10	9629378	30984428
2	9629378	312162798
1	9629378	51557483
3	9629378	56694721
354	9629378	591398030
6	9629378	83722567
