30260195,118475778,412694,4
30260195,163938013,315730,2
30260195,218230750,405532,1
30260195,218901206,405535,2
30260195,219682499,442563,1
30260195,222093774,361100,1
30260195,227812678,568206,49
30260195,229599883,592021,153
30260195,301051741,637380,1
30260195,30260195,198094,30
30260195,384177910,930170,1
30260195,386733873,768494,393
30260195,434373506,1217737,1
30260195,449086670,1279365,1
30260195,49183039,260799,7
30260195,49476684,281309,1
30260195,50196905,261594,70
30260195,52140164,288681,2
30260195,525908085,1276221,1
30260195,558678294,529122,1
