49482253,148266447,359786,12
49482253,150392480,359787,2
49482253,156978331,418127,7
49482253,194246403,37692,1
49482253,21281729,196620,2
49482253,29165615,158879,3
49482253,379013365,1028799,23
49482253,379019812,1118959,3
49482253,379794527,985002,2
49482253,384548923,869816,2
49482253,384860682,546342,1
49482253,384865886,548473,3
49482253,384868588,1006543,5
49482253,385780298,1123523,3
49482253,386829725,1074252,4
49482253,387141638,663951,93
49482253,387149188,703339,5
49482253,387601291,523796,172
49482253,387779217,985006,48
49482253,470192280,1074919,1
49482253,470223734,1074919,8
49482253,49482253,282458,144
49482253,49484912,282459,15
49482253,514064966,1323661,38
49482253,521210823,1321369,4
49482253,532358222,585143,2
49482253,537459744,1193576,9
49482253,545633528,1201010,50
49482253,545636471,1194085,6
49482253,57865352,176279,1
49482253,82749777,273036,30
