194172857,15902044,171101,1
194172857,169832377,487214,15
194172857,182682970,516950,37
194172857,194172857,170187,395
194172857,225853611,488222,45
194172857,225855735,488223,12
194172857,225857809,488221,31
194172857,225860012,487213,3
194172857,298501502,525381,69
194172857,307066636,574093,25
194172857,307126151,189423,8
194172857,387625543,869269,186
194172857,387758384,869216,21
194172857,405759923,869309,3
194172857,410475457,697283,1
194172857,479134147,869311,17
194172857,479134154,869312,2
194172857,480530348,869307,14
194172857,480532168,869303,67
194172857,480535788,869304,1
194172857,549452631,1380773,1
