386617516,117622295,405955,2
386617516,170018061,481805,4
386617516,170679574,439855,36
386617516,209427726,564886,1
386617516,209917191,409438,1
386617516,218703261,585056,6
386617516,254160123,413997,4
386617516,260853213,573235,1
386617516,260866153,585396,5
386617516,30065704,227940,1
386617516,344915202,198214,4
386617516,377520096,216599,1
386617516,384124469,637385,2
386617516,386617516,1033813,211
386617516,386622414,1072459,26
386617516,386632422,885275,13
386617516,387615344,685038,59
386617516,387828053,431946,408
386617516,387880559,741093,6
386617516,410480139,1134782,14
386617516,443615330,1274814,4
386617516,544574430,1382700,2
386617516,82542618,300268,3
386617516,82775382,300267,1
386617516,91209055,364106,132
