194172857	15902044	171101
194172857	169832377	487214
194172857	182682970	516950
194172857	194172857	170187
194172857	225853611	488222
194172857	225855735	488223
194172857	225857809	488221
194172857	289166909	365659
194172857	298501502	525381
194172857	307066636	574093
194172857	307126151	189423
194172857	331265438	927666
194172857	386585202	1004952
194172857	387625543	869269
194172857	387756560	869215
194172857	387758384	869216
194172857	387787130	1130804
194172857	387878539	1114965
194172857	405759923	869309
194172857	410475457	697283
194172857	479134147	869311
194172857	479134154	869312
194172857	480530348	869307
194172857	480532168	869303
